,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
3,"frozenset({'徐峥', '黄渤'})",frozenset({'宁浩'}),0.09090909090909091,0.0707070707070707,0.06060606060606061,0.6666666666666666,9.428571428571429,0.054178145087236,2.7878787878787876
4,frozenset({'宁浩'}),"frozenset({'徐峥', '黄渤'})",0.0707070707070707,0.09090909090909091,0.06060606060606061,0.8571428571428572,9.428571428571429,0.054178145087236,6.363636363636366
5,frozenset({'黄渤'}),"frozenset({'徐峥', '宁浩'})",0.15151515151515152,0.06060606060606061,0.06060606060606061,0.4,6.6000000000000005,0.05142332415059688,1.5656565656565657
2,"frozenset({'徐峥', '宁浩'})",frozenset({'黄渤'}),0.06060606060606061,0.15151515151515152,0.06060606060606061,1.0,6.6,0.05142332415059688,inf
6,frozenset({'黄渤'}),frozenset({'王迅'}),0.15151515151515152,0.050505050505050504,0.050505050505050504,0.3333333333333333,6.6,0.042852770125497396,1.424242424242424
7,frozenset({'王迅'}),frozenset({'黄渤'}),0.050505050505050504,0.15151515151515152,0.050505050505050504,1.0,6.6,0.042852770125497396,inf
0,frozenset({'宁浩'}),frozenset({'黄渤'}),0.0707070707070707,0.15151515151515152,0.06060606060606061,0.8571428571428572,5.6571428571428575,0.04989286807468626,5.939393939393942
1,frozenset({'黄渤'}),frozenset({'宁浩'}),0.15151515151515152,0.0707070707070707,0.06060606060606061,0.4,5.6571428571428575,0.04989286807468626,1.5488215488215489
